Site ID	Site Name	Parameter	Recorded Date	Aggregated Value	Units	No of Records	Data Source	Status	Quality Description
18593	LAKE HANNA	"Rainfall, total"	12/10/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/11/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/12/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/13/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/14/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/15/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/16/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/17/14	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/18/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/19/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/20/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/21/14	0.88	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/22/14	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/23/14	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/24/14	0.29	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/25/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/26/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/27/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/28/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/29/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/30/14	0.49	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	12/31/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/1/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/2/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/3/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/4/15	0.03	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/5/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/6/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/7/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/8/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/9/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/10/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/11/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/12/15	1.09	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/13/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
